"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Limbe Community Hospital","Limbe Community Hospital","Southern","Blantyre","TA Kapeni","BT2908","2","BEmONC","No","-15.8172983","35.0519399"
"Lirangwe Community Hospital","Lirangwe Community Hospital","Southern","Blantyre","TA Lundu","BT240698","2","Non-EmONC","No","-15.529637","35.0298834"
"Lundu Health Centre","Lundu Health Centre","Southern","Blantyre","TA Lundu","BT240723","2","BEmONC","No","-15.421482","35.0129015"
"Madziabango Health Centre","Madziabango Health Centre","Southern","Blantyre","TA Somba","BT2911","2","BEmONC","No","-15.9677969","34.9082961"
"Makata Community Hospital","Makata Community Hospital","Southern","Blantyre","TA Makata","BT24078","2","Non-EmONC","No","-15.6274514","35.0778707"
"Makhetha Dispensary","Makhetha Dispensary","Southern","Blantyre","TA Kapeni","BT240790","1","Non-EmONC","No","-15.7835363","35.0695595"
"Malabada Mission Hospital","Malabada Mission Hospital","Southern","Blantyre","TA Kapeni","BT240799","2","BEmONC","No","-15.7678667","35.044745"
"Manase Dispensary","Manase Dispensary","Southern","Blantyre","TA Somba","BT242135","1","Non-EmONC","No","-15.812249","34.9964014"
"Mbayani Dispensary","Mbayani Dispensary","Southern","Blantyre","TA Machinjiri","BT2963","1","Non-EmONC","No","-15.765466","35.0045733"
"Mdeka Health Centre","Mdeka Health Centre","Southern","Blantyre","TA Chigaru","BT240900","2","Non-EmONC","No","-15.4681159","34.9427356"
"Mitsidi Health Centre","Mitsidi Health Centre","Southern","Blantyre","TA Kuntaja","BT240722","2","Non-EmONC","No","-15.7773128","34.9687355"
"Mlambe Mission Hospital","Mlambe Mission Hospital","Southern","Blantyre","TA Kapeni","BT2915","3","CEmONC","Yes","-15.6435163","35.0174856"
"Mpemba Community Hospital","Mpemba Community Hospital","Southern","Blantyre","TA Somba","BT2916","2","BEmONC","No","-15.8750266","34.9564199"
"Mpingo Health Centre","Mpingo Health Centre","Southern","Blantyre","TA Somba","BT2996","2","Non-EmONC","No","-15.8818533","34.9134267"
"Namikoko Health Centre","Namikoko Health Centre","Southern","Blantyre","TA Lundu","BT2917","2","Non-EmONC","No","-15.4867797","35.0736572"
"Nancholi Community Hospital","Nancholi Community Hospital","Southern","Blantyre","TA Somba","BT241884","2","Non-EmONC","No","-15.8273129","34.9693307"
"Ndirande Community Hospital","Ndirande Community Hospital","Southern","Blantyre","TA Kapeni","BT241158","3","CEmONC","No","-15.7781925","35.0395648"
"Ntonda Dispensary","Ntonda Dispensary","Southern","Blantyre","TA Somba","BT241520","1","Non-EmONC","No","-15.84602","34.9899467"
