"name","label","region","district","ta"
"MZ160493","Kafukule Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160530","Kamwe Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160613","Kaweche Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160736","Luvwere Dispensary","Northern","Mzimba North","TA Mtwalo"
"MZ160743","Luzi Health Centre","Northern","Mzimba North","TA Jalavikuba"
"MZ160812","Malidade Health Centre","Northern","Mzimba North","TA Mpherembe"
"MZ160833","Manolo Health Centre","Northern","Mzimba North","TA Mpherembe"
"MZ160863","Matuli Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ160986","Moyale Dispensary","Northern","Mzimba North","TA Kabunduli"
"MZ161004","Mpherembe Health Centre","Northern","Mzimba North","TA Mpherembe"
"MZ161040","Mtwalo Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ161099","Mzuzu Central Hospital","Northern","Mzimba North","TA Mtwalo"
"MZ161100","Mzuzu Urban Community Hospital","Northern","Mzimba North","TA Mtwalo"
"MZ161187","Njuyu Health Centre","Northern","Mzimba North","TA Kampingo Sibande"
"MZ161200","Nkhorongo Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ161205","Khuyukuyu Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ161251","Padre Pio Health Centre","Northern","Mzimba North","TA Kampingo Sibande"
"MZ161366","St John's Mission Hospital","Northern","Mzimba North","TA Mtwalo"
"MZ161425","Thunduwike Health Centre","Northern","Mzimba North","TA Mpherembe"
"MZ161535","Enukweni Mission Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ161819","Zolozolo Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ161919","Madise Health Centre","Northern","Mzimba North","TA Mtwalo"
"MZ0501","Mzimba District Hospital","Northern","Mzimba South","TA M'mbelwa"
"MZ0502","Euthini Rural Hospital","Northern","Mzimba South","TA Chindi"
"MZ0503","Chikangawa Health Centre","Northern","Mzimba South","TA Kampingo Sibande"
"MZ0504","Emfeni Health Centre","Northern","Mzimba South","TA Mabilabo"
"MZ0505","Edingeni Health Centre","Northern","Mzimba South","TA M'mbelwa"
