"name","label","region","district"
"Chingazi Rural Hospital","Chingazi Rural Hospital","Southern","Thyolo"
"Chinthebe Dispensary","Chinthebe Dispensary","Southern","Thyolo"
"Chipho Health Centre","Chipho Health Centre","Southern","Thyolo"
"Chisunga Dispensary","Chisunga Dispensary","Southern","Thyolo"
"Conforzi Clinic","Conforzi Clinic","Southern","Thyolo"
"Did Health Centre","Did Health Centre","Southern","Thyolo"
"Didi Health Centre","Didi Health Centre","Southern","Thyolo"
"DIDI Health Centre","DIDI Health Centre","Southern","Thyolo"
"Gombe Health Centre","Gombe Health Centre","Southern","Thyolo"
"Kankhomba1a Health Centre","Kankhomba1a Health Centre","Southern","Thyolo"
"Kasembeleka Dispensary","Kasembeleka Dispensary","Southern","Thyolo"
"Khonjeni Health Centre","Khonjeni Health Centre","Southern","Thyolo"
"Lolo Health Centre","Lolo Health Centre","Southern","Thyolo"
"Lomola Health Centre","Lomola Health Centre","Southern","Thyolo"
"Machemba Health Post","Machemba Health Post","Southern","Thyolo"
"Mafisi Dispensary","Mafisi Dispensary","Southern","Thyolo"
"Makapwa Health Centre","Makapwa Health Centre","Southern","Thyolo"
"Makungwa Health Centre","Makungwa Health Centre","Southern","Thyolo"
"Makwasa Clinic","Makwasa Clinic","Southern","Thyolo"
"Malamulo Mission Hospital","Malamulo Mission Hospital","Southern","Thyolo"
"Mangazi Rural Hospital","Mangazi Rural Hospital","Southern","Thyolo"
"Mangunda Health Centre","Mangunda Health Centre","Southern","Thyolo"
"Mapanga Health Centre","Mapanga Health Centre","Southern","Thyolo"
"Mbalanguzi Dispensary","Mbalanguzi Dispensary","Southern","Thyolo"
"Mianga Health Centre","Mianga Health Centre","Southern","Thyolo"
"Mikolongwe Health Centre","Mikolongwe Health Centre","Southern","Thyolo"
"Mitengo Health Centre","Mitengo Health Centre","Southern","Thyolo"
"Mmina Rural Hospital","Mmina Rural Hospital","Southern","Thyolo"
"Naming'omba Clinic","Naming'omba Clinic","Southern","Thyolo"
"Nchima Clinic","Nchima Clinic","Southern","Thyolo"
"Njale Health Centre","Njale Health Centre","Southern","Thyolo"
"Nkhataombere Dispensary","Nkhataombere Dispensary","Southern","Thyolo"
"Nsabwe Dispensary","Nsabwe Dispensary","Southern","Thyolo"
